iter	RMSE
708	21916.55364
709	21893.57865
710	21886.59202
711	21879.94709
7711	20985.892127712	20972.90908714	21817.01135
715	21796.0753
716	21777.94698
717	21765.53126
718	21759.60408
719	21757.93246
720	21754.63806
721	21707.55696
722	21702.08105
723	21649.96229
724	21628.81066
725	21603.33115
726	21597.1258
727	21559.21234
728	21528.95212
728	20687.53263
729	20679.88407
730	20674.67062
731	20656.38114
732	20652.72371
733	20647.42826
734	20632.07177
735	20606.43889
736	20589.69054
737	20584.52027
738	20545.11004
739	20531.03723
740	20507.70521
741	20475.52953
742	20470.5408
743	20439.50373
744	20416.44687
745	20406.73197
746	20395.3135
747	20357.97391
748	20327.68925
749	20288.14145
750	20257.70518752	21155.06893
753	21141.52823
754	21099.63492
755	21071.94169
756	21042.57858
757	21019.04974
758	21009.25616
759	20986.26988
760	20965.09812
761	20914.16492
762	20875.0171
763	20846.49056
764	20822.58168
765	20817.31092
766	20802.5828
767	20796.51294
768	20775.43446
769	20754.51556
770	20752.87908
771	20728.47923
772	20722.92206
773	20694.13671
774	20687.36267
7774	19838.08931776	20660.83329
777	20621.94179
778	20605.06887
7778	19798.532467779	19786.01843
780	19778.16365
781	19748.47643
782	19738.005178783	19700.596978784	19684.557178785	19679.2002
786	19666.46469
787	19626.65101
788	19597.62138
789	19580.00613
790	19575.99916
791	19564.82627
792	19544.74356
793	19538.1481
794	19528.86786
795	19517.56246
796	19500.77488
797	19465.1679
798	19460.46481
799	19448.89603
800	19441.26548
801	19413.76984
802	19377.70995
803	19361.3226
804	19352.5148
805	19343.51251
806	19337.23103
807	19336.08398
808	19307.69202
809	19296.85354
810	19280.51251
811	19254.96968
812	19220.88849
813	19212.42446
814	19202.11404
815	19180.79905
816	19162.91688
817	19151.54506
818	19140.96366
819	19123.79303
820	19094.60633
821	19076.40571
822	19059.39163
823	19036.26151
824	19030.7942
825	19003.39743
826	18994.83044
827	18980.5322829	19773.92988
830	19761.17213
831	19732.24564
832	19715.81775
833	19691.76753
834	19680.04172
835	19677.72325
836	19675.17829
837	19652.17805
838	19626.99908
839	19608.13637
840	19571.37901
841	19555.75719
842	19540.12944
843	19522.24156
844	19501.2509
845	19500.13809
846	19488.16567
847	19470.38222
848	19457.83115
849	19437.79294
850	19432.8791
851	19429.1352
852	19413.40231
853	19399.3032
854	19382.83327
855	19364.93163
856	19359.86999
857	19338.10548
858	19310.18505
859	19301.52861
860	19293.72272
861	19284.14494
862	19264.98641
863	19260.2246
864	19249.78358
865	19237.63119
866	19221.894
867	19213.35623
868	19182.82929
869	19169.80743
870	19125.84786
871	19122.43096
872	19096.53481
873	19072.83873
874	19049.16914
875	19044.5201
876	19038.24513
877	19020.22672
878	18977.42199
879	18959.38516
880	18946.04082
881	18928.55919
882	18920.79015
883	18912.00353
884	18886.89825
885	18847.64788
886	18823.27649
887	18800.15897
888	18759.72943
889	18735.5816
890	18734.0428
891	18733.06526
892	18721.70134
893	18717.03491
894	18713.02716
895	18683.10872
896	18664.28336
897	18645.15487
898	18641.12515
899	18596.46631
900	18591.82071
901	18584.80149
902	18581.26906
903	18580.2787
904	18552.16381
905	18529.50974
906	18525.56109
907	18499.15929
908	18481.56389
909	18445.45325
910	18424.4493
911	18416.2481
912	18404.92319
913	18393.56662
914	18358.91874
915	18346.64583
916	18330.75248
917	18320.04936
918	18296.85167
919	18283.09714
920	18268.79514
921	18253.05333
922	18245.19358
923	18231.01118
924	18227.80094
925	18213.78256
926	18209.75565
927	18189.94467
928	18161.77889
929	18146.38433
930	18129.97519
931	18109.23155
932	18072.02392
933	18052.75273
934	18037.90808
935	18011.32018
936	18008.0298
937	18006.82075
938	18005.53819
939	18004.55946
940	17989.3442
941	17962.56039
942	17953.2639
943	17935.04963
944	17931.46368
945	17917.93399
946	17909.82543
947	17889.2533
948	17871.54003
949	17870.30958
950	17853.45978
951	17825.13941
952	17808.20745
953	17785.8692
954	17770.51965
955	17766.29057
956	17763.40115
957	17754.4723
958	17745.77125
959	17743.60521
960	17721.86633
961	17718.11595
962	17704.88721
963	17681.87989
964	17671.89564
965	17670.00355
966	17652.14012
967	17627.69563
968	17615.9332
969	17594.60617
970	17544.68813
971	17530.59942
972	17528.63562
973	17519.9983
974	17499.8905
975	17483.5337
976	17479.32928
977	17449.18632
978	17433.42893
979	17421.22685
980	17401.97786
981	17397.96639
982	17396.12299
983	17380.36563
984	17372.78153
985	17352.75025
986	17337.72054
987	17319.82635
988	17316.27913
989	17281.66436
990	17255.41777
991	17254.32313
992	17243.50099
993	17223.30167
994	17214.90355
995	17167.67909
996	17140.01776
997	17119.12524
998	17115.32035
999	17107.64081
6508.89965
999	16484.45694
178
